Malcolm Bligh Turnbull	Make statement	Alexander Downer
India	Share intelligence or information	Pakistan
Pakistan	Share intelligence or information	India
Alexis Tsipras	Make statement	Government (Greece)
Police (India)	Sexually assault	Citizen (India)
Police (India)	Arrest, detain, or charge with legal action	Criminal (India)
Muhammadu Buhari	Make statement	Nigeria
India	Demand	Bank (India)
Ashraf Ghani Ahmadzai	Make statement	Muslim (Afghanistan)
Newspaper (Afghanistan)	Criticize or denounce	Citizen (Afghanistan)
Ashraf Ghani Ahmadzai	Make empathetic comment	Citizen (Afghanistan)
Hassan Rouhani	Make statement	Iran
Military (Kenya)	fight with small arms and light weapons	Kenya
Military (Kenya)	Use conventional military force	Militant (Kenya)
Police (Iran)	Use conventional military force	Iran
Student (Iran)	Demonstrate or rally	Unspecified Actor
Military Personnel - Special (Iran)	Use conventional military force	Protester (Iran)
Police (Philippines)	Express intent to cooperate	Citizen (Philippines)
Military Personnel - Special (Afghanistan)	Arrest, detain, or charge with legal action	Citizen (Afghanistan)
Militant (Kenya)	Use unconventional violence	Police (Kenya)
Liberia	Praise or endorse	National Elections Commission of the Republic of Liberia
Rioter (Iran)	Use unconventional violence	Police (Iran)
India	Express intent to cooperate	Pakistan
Pakistan	Express intent to cooperate	India
Afghanistan	Express intent to cooperate	Uzbekistan
Uzbekistan	Express intent to cooperate	Afghanistan
Government (Ukraine)	Make statement	Military (Ukraine)
China	Mobilize or increase police power	Vietnam
Member of Parliament (Pakistan)	Accuse	Lower House of Parliament (Pakistan)
Other Authorities / Officials (Israel)	Arrest, detain, or charge with legal action	Women (Palestinian Territory, Occupied)
Kim Jong-Un	Make statement	United States
Democratic Republic of Congo	Arrest, detain, or charge with legal action	Citizen (Democratic Republic of Congo)
Religion (Democratic Republic of Congo)	Appeal for change in leadership	Head of Government (Democratic Republic of Congo)
Protester (Democratic Republic of Congo)	Demonstrate or rally	Joseph Kabila
Opposition Supporter (Democratic Republic of Congo)	Demonstrate or rally	Joseph Kabila
Citizen (Democratic Republic of Congo)	Demonstrate or rally	Unspecified Actor
Defense / Security Ministry (Iran)	Make statement	Protester (Iran)
Moon Jae-in	Praise or endorse	Citizen (South Korea)
United Arab Emirates	Express intent to meet or negotiate	South Korea
Police (South Korea)	Arrest, detain, or charge with legal action	Citizen (South Korea)
Fire Brigade (South Korea)	Provide humanitarian aid	Citizen (South Korea)
Militant (India)	Carry out suicide bombing	Police (India)
Armed Gang (India)	Carry out suicide bombing	India
Citizen (India)	Carry out suicide bombing	India
Citizen (United Kingdom)	Demonstrate or rally	Foreign Affairs (Iran)
Iran	Use tactics of violent repression	Protester (Iran)
Protester (Iran)	Demonstrate or rally	Iran
Police (Iran)	Arrest, detain, or charge with legal action	Citizen (Iran)
Police (Iran)	Use tactics of violent repression	Citizen (Iran)
Citizen (Iran)	Demonstrate or rally	Police (Iran)
Pope Francis	Make an appeal or request	Citizen (Holy See (Vatican City State))
Nursultan Nazarbayev	Praise or endorse	Citizen (Kazakhstan)
Emomalii Rahmon	Make an appeal or request	Citizen (Tajikistan)
Other Authorities / Officials (India)	Return, release person(s)	Citizen (India)
Donald Trump	Accuse	Pakistan
Militant (Syria)	Use unconventional violence	Military (Syria)
Activist (Syria)	Make statement	Military (Syria)
Muhammadu Buhari	Demand	Party Member (Nigeria)
Toronto Police Service	Arrest, detain, or charge with legal action	Criminal (Canada)
Boris Johnson	Make a visit	Russia
Russia	Host a visit	Boris Johnson
Giorgi Kvirikashvili	Make statement	Armenia
Media Personnel (Senegal)	Make statement	Socialist Party (Senegal)
Saudi Arabia	Employ aerial weapons	Citizen (Yemen)
Ministry (Yemen)	Criticize or denounce	Children (Yemen)
Ministry (Yemen)	Criticize or denounce	Women (Yemen)
Citizen (Nigeria)	Use unconventional violence	Christian (Nigeria)
Medical Personnel (India)	Engage in diplomatic cooperation	Government (India)
Military (United States)	Mobilize or increase armed forces	Syria
Attacker (Oman)	fight with small arms and light weapons	Military Personnel (Oman)
Sheikh Hamad bin Isa al Khalifah	Consult	Donald Trump
Donald Trump	Consult	Sheikh Hamad bin Isa al Khalifah
Member of the Judiciary (Bahrain)	Arrest, detain, or charge with legal action	Citizen (Bahrain)
United States	Employ aerial weapons	Syria
Military (Syria)	Occupy territory	Syria
Citizen (Iran)	Use unconventional violence	Iran
Foreign Affairs (Palestinian Territory, Occupied)	Reduce or break diplomatic relations	United States
Foreign Affairs (Iran)	Criticize or denounce	Government (Canada)
Foreign Affairs (Iran)	Criticize or denounce	Donald Trump
North Korea	Make statement	United States
Israeli Defense Forces	Investigate	Citizen (Palestinian Territory, Occupied)
Israeli Defense Forces	Arrest, detain, or charge with legal action	Citizen (Palestinian Territory, Occupied)
Activist (Syria)	Make statement	Government (Syria)
Syrian Observatory for Human Rights	Use conventional military force	Citizen (Syria)
High Ranking Military Personnel (Cote d'Ivoire)	Praise or endorse	Military (Cote d'Ivoire)
Police (Cote d'Ivoire)	Appeal for diplomatic cooperation (such as policy support)	Military (Cote d'Ivoire)
Police (Cote d'Ivoire)	Praise or endorse	Royal Administration (Cote d'Ivoire)
Armed Gang (Egypt)	Use unconventional violence	Citizen (Egypt)
Attacker (Egypt)	fight with small arms and light weapons	Giza
Defense / Security Ministry (Russia)	Make statement	Syria
Business (Uruguay)	Threaten	Lawyer/Attorney (Uruguay)
M.S. Yadav	Consult	Representatives (India)
Representatives (India)	Consult	M.S. Yadav
Citizen (Iran)	Criticize or denounce	Rioter (Iran)
Hassan Rouhani	Make statement	Fars News
Government (Iran)	Threaten	Citizen (Iran)
Citizen (Iran)	Reduce relations	Iran
Ebrahim Raisi	Criticize or denounce	Hassan Rouhani
Florence Parly	Express intent to meet or negotiate	France
Military (United States)	Employ aerial weapons	Somalia
Benjamin Netanyahu	Express intent to meet or negotiate	Vladimir Putin
Vladimir Putin	Express intent to meet or negotiate	Benjamin Netanyahu
Vladimir Putin	Praise or endorse	Benjamin Netanyahu
Military Personnel - Special (Iran)	fight with small arms and light weapons	Protester (Iran)
Citizen (Iran)	Deny responsibility	Military Personnel - Special (Iran)
Donald Trump	Criticize or denounce	Pakistan
Nawaz Sharif	Make a visit	Saudi Arabia
Saudi Arabia	Host a visit	Nawaz Sharif
Citizen (Palestinian Territory, Occupied)	Reject	Likud
Government (Palestinian Territory, Occupied)	Criticize or denounce	Likud
Kyrgyzstan	Use conventional military force	Citizen (Uzbekistan)
Citizen (Uzbekistan)	Use unconventional violence	Kyrgyzstan
António Manuel de Oliveira Guterres	Make an appeal or request	Government (Democratic Republic of Congo)
António Manuel de Oliveira Guterres	Make an appeal or request	Actor (Congo)
Yoweri Museveni	Make statement	Uganda
Muhammadu Buhari	Make statement	Boko Haram
Military Personnel (China)	Criticize or denounce	Citizen (Australia)
Malcolm Bligh Turnbull	Deny responsibility	Paul Keating
The Herald	Make statement	Alexander Downer
Professor (Australia)	Make statement	Government (Australia)
Citizen (Afghanistan)	Criticize or denounce	Government (Afghanistan)
Boko Haram	Abduct, hijack, or take hostage	Citizen (Nigeria)
Iran	Sign formal agreement	Barack Obama
Barack Obama	Sign formal agreement	Iran
Hassan Rouhani	Make an appeal or request	Citizen (Iran)
Syria	Use conventional military force	Israel
United States	Provide economic aid	Pakistan
Citizen (Hong Kong)	Demonstrate or rally	Unspecified Actor
Mevlut Cavusoglu	Make statement	Government (Turkey)
Ukraine	Violate ceasefire	Armed Rebel (Ukraine)
Armed Rebel (Ukraine)	Accuse of aggression	Ukraine
Militia (Ukraine)	Make statement	Military (Ukraine)
Armed Rebel (Ukraine)	Accuse	Military (Ukraine)
Ali Bongo Ondimba	Make optimistic comment	Citizen (Gabon)
Citizen (Congo)	Accuse	Government (Congo)
Ibrahim Boubacar Keïta	Engage in symbolic act	Citizen (Mali)
Paul Biya	Make statement	Cameroon
Donald Trump	Reduce or stop material aid	Pakistan
North Korea	Use conventional military force	United States
Donald Trump	Demonstrate or rally	Iran
Mahmoud Abbas	Make statement	Likud
Mahmoud Abbas	Rally opposition against	Israel
Mahmoud Abbas	Rally opposition against	Palestinian Territory, Occupied
Mahmoud Abbas	Make an appeal or request	Unidentified State Actor
Head of Government (Austria)	Consult	Rumen Radev
Rumen Radev	Consult	Head of Government (Austria)
Rumen Radev	Meet at a 'third' location	Kersti Kaljulaid
Kersti Kaljulaid	Meet at a 'third' location	Rumen Radev
Sebastian Kurz	Consult	Rumen Radev
Rumen Radev	Consult	Sebastian Kurz
Opposition Supporter (Russia)	Accuse	Citizen (Russia)
Head of Government (Turkey)	Make statement	Turkey
Turkey	Host a visit	Binali Yildirim
Binali Yildirim	Make a visit	Turkey
Binali Yildirim	Make statement	Turkey
Binali Yildirim	Make optimistic comment	Turkey
Singapore	Arrest, detain, or charge with legal action	Citizen (Vietnam)
Vietnam	Arrest, detain, or charge with legal action	Citizen (Vietnam)
Police (India)	Use conventional military force	Citizen (India)
Criminal (Brazil)	Use unconventional violence	Brazil
Bulgaria	Express intent to meet or negotiate	European Union
Citizen (Iran)	Demonstrate or rally	Government (Iran)
Professor (Hong Kong)	Praise or endorse	Student (Hong Kong)
Joseph Boakai	Grant diplomatic recognition	George Weah
Head of Government (Zimbabwe)	Make statement	Government (Zimbabwe)
Center for Human Rights (Malawi)	Make statement	Government (Malawi)
Muhammadu Buhari	Demand	Nigeria
Central Reserve Police Force	Make statement	Militant (India)
Militant (India)	Use unconventional violence	Central Reserve Police Force
Yisra'el Katz	Make statement	Government (Iran)
Mahmoud Abbas	Criticize or denounce	Ruling Party (Israel)
Mahmoud Abbas	Criticize or denounce	United States
Mahmoud Abbas	Make statement	Executive Office of the President
Congress Party	Make statement	Employee (India)
All Assam Students Union	Sign formal agreement	R. Gandhi
R. Gandhi	Sign formal agreement	All Assam Students Union
North Korea	Express intent to meet or negotiate	South Korea
Police (India)	Make statement	Raman Singh
Russia	Threaten	Iran
Syrian Arab News Agency	Make statement	Bashar al-Assad
Foreign Affairs (Israel)	Make statement	Mike Pence
Executive Office of the President	Express intent to meet or negotiate	Israel
Sadiq Khan	Make empathetic comment	Citizen (United Kingdom)
Benjamin Netanyahu	Express intent to cooperate	Vladimir Putin
Benjamin Netanyahu	Discuss by telephone	Vladimir Putin
Vladimir Putin	Express intent to cooperate	Benjamin Netanyahu
Vladimir Putin	Discuss by telephone	Benjamin Netanyahu
Uganda	Expel or deport individuals	Citizen (Congo)
Uganda	Expel or deport individuals	Citizen (Rwanda)
Uganda	Arrest, detain, or charge with legal action	Citizen (Rwanda)
Police (Uganda)	Make statement	Detainee (Uganda)
Police (United States)	Arrest, detain, or charge with legal action	Citizen (Jordan)
Citizen (Jordan)	fight with small arms and light weapons	Citizen (United States)
Head of Government (Iran)	Defend verbally	Citizen (Iran)
Alassane Ouattara	Make an appeal or request	Citizen (Cote d'Ivoire)
Sigmar Gabriel	Make an appeal or request	Government (Iran)
Rahul Gandhi	Make statement	Government (India)
Benjamin Netanyahu	Consult	Vladimir Putin
Vladimir Putin	Consult	Benjamin Netanyahu
Vladimir Putin	Praise or endorse	Military (Russia)
Military (Syria)	Employ aerial weapons	Syria
Foreign Affairs (Russia)	Make statement	Iran
Hassan Rouhani	Threaten	Protester (Iran)
Citizen (Australia)	Demand	Malcolm Bligh Turnbull
Citizen (Australia)	Make an appeal or request	Malcolm Bligh Turnbull
Ministry (Australia)	Make statement	Government (Australia)
Saudi Arabian Defence Forces	Use conventional military force	Armed Gang (Saudi Arabia)
Bashar al-Assad	Praise or endorse	Ali Abdullah Ayyoub
Bruno Le Maire	Make statement	United States
Emmanuel Macron	Make a visit	China
China	Host a visit	Emmanuel Macron
Israeli Defense Forces	Arrest, detain, or charge with legal action	Hamas
Police (United Kingdom)	Arrest, detain, or charge with legal action	Men (United Kingdom)
Protester (Iran)	Demonstrate or rally	Police (Iran)
Israel	Arrest, detain, or charge with legal action	Children (Palestinian Territory, Occupied)
Fatah	Criticize or denounce	Israel
Hamas	Criticize or denounce	Israel
Benjamin Netanyahu	Accuse	Israel
Benjamin Netanyahu	Accuse	Saudi Arabia
Benjamin Netanyahu	Accuse	United States
Benjamin Netanyahu	Praise or endorse	Citizen (Iran)
Citizen (India)	Demonstrate or rally	Unspecified Actor
Political Parties (India)	Criticize or denounce	Pakistan
Political Parties (India)	Demonstrate or rally	Unspecified Actor
Huanqiu Shibao	Accuse	Australia
Citizen (Zimbabwe)	Engage in diplomatic cooperation	Government (Zimbabwe)
Pope Francis	Make an appeal or request	Citizen (International)
Member of Parliament (Iraq)	Make statement	Nuri al-Maliki
Member of Parliament (Iraq)	Make statement	Government (Iraq)
Citizen (India)	Use unconventional violence	India
Armed Gang (India)	Use unconventional violence	Military Personnel - Special (India)
Military Personnel - Special (India)	Use conventional military force	Armed Gang (India)
Armed Rebel (India)	Use unconventional violence	India
Benjamin Netanyahu	Express intent to meet or negotiate	India
Vladimir Putin	Consult	Bank (Russia)
Bank (Russia)	Consult	Vladimir Putin
Andrej Babis	Consult	Robert Fico
Robert Fico	Consult	Andrej Babis
Azerbaijan	Engage in diplomatic cooperation	Kazakhstan
Kazakhstan	Engage in diplomatic cooperation	Azerbaijan
Israel	Arrest, detain, or charge with legal action	Citizen (Palestinian Territory, Occupied)
Haaretz	Make statement	Israel
Government (Israel)	Engage in diplomatic cooperation	European Union
European Union	Conduct strike or boycott	Unspecified Actor
Malcolm Bligh Turnbull	Make statement	Legislature (Australia)
Police (Australia)	Accuse	Citizen (Australia)
Australia	Arrest, detain, or charge with legal action	Citizen (Australia)
Kim Beazley	Make an appeal or request	Citizen (Australia)
Kim Beazley	Demand	Government (Australia)
Head of Government (Australia)	Criticize or denounce	Australia
Tony Abbott	Express accord	Malcolm Bligh Turnbull
Environment Department/Ministry (Philippines)	Make statement	Criminal (Philippines)
Kim Jong-Un	Make statement	Government (North Korea)
Armed Gang (Egypt)	Use unconventional violence	Christian (Egypt)
Police (Egypt)	Make statement	Armed Gang (Egypt)
Peter Gajdos	Praise or endorse	Military (Slovakia)
Benjamin Netanyahu	Deny responsibility	Iran
Benjamin Netanyahu	Praise or endorse	Protester (Iran)
Citizen (Ukraine)	Demonstrate or rally	Unspecified Actor
Armed Gang (Egypt)	fight with small arms and light weapons	Christian (Egypt)
United Nations	Appeal for change in leadership	Joseph Kabila
Military Personnel - Special (Democratic Republic of Congo)	Use conventional military force	Citizen (Democratic Republic of Congo)
Saudi Arabia	Employ aerial weapons	Citizen (Saudi Arabia)
Fighter Bomber (Saudi Arabia)	Use conventional military force	Citizen (Saudi Arabia)
Saudi Arabian Defence Forces	Use conventional military force	Citizen (Saudi Arabia)
Saudi Arabian Defence Forces	fight with small arms and light weapons	Armed Gang (Saudi Arabia)
Sigmar Gabriel	Make an appeal or request	Other Authorities / Officials (Iran)
Russia	Make optimistic comment	Iran
Member of Parliament (Iraq)	Make statement	Iraq
Cabinet / Council of Ministers / Advisors (Iraq)	Consult	Legislature (Iraq)
Legislature (Iraq)	Consult	Cabinet / Council of Ministers / Advisors (Iraq)
Israel	Accuse	Children (Palestinian Territory, Occupied)
Rioter (Iran)	Protest violently, riot	Police (Iran)
Protester (Iran)	Protest violently, riot	Police (Iran)
Andrej Kiska	Engage in symbolic act	Citizen (Slovakia)
Protester (Iran)	Protest violently, riot	Unspecified Actor
Foreign Affairs (Pakistan)	Consult	Foreign Affairs (United States)
Foreign Affairs (Pakistan)	Complain officially	Donald Trump
Foreign Affairs (United States)	Consult	Foreign Affairs (Pakistan)
Foreign Affairs (Pakistan)	Consult	David Hale
David Hale	Consult	Foreign Affairs (Pakistan)
United States	Provide aid	Pakistan
Haider Al-Abadi	Make statement	Iraq
Military (Iraq)	Occupy territory	Iraq
Iran	Arrest, detain, or charge with legal action	Citizen (Iran)
Iran	Arrest, detain, or charge with legal action	Rioter (Iran)
Citizen (Iran)	Use unconventional violence	Police (Iran)
Citizen (Kenya)	Make optimistic comment	Government (Kenya)
Nurse (Brazil)	Make a visit	James Michel
James Michel	Host a visit	Nurse (Brazil)
Police (Brazil)	Make statement	Governor (Brazil)
António Manuel de Oliveira Guterres	Make pessimistic comment	Military Personnel - Special (Democratic Republic of Congo)
Member of Parliament (Slovakia)	Express accord	Andrej Kiska
Citizen (Slovakia)	Demonstrate or rally	Unspecified Actor
Citizen (Indonesia)	Accuse	Company - Owner or Operator (Indonesia)
Citizen (Indonesia)	Appeal for intelligence	Police (Indonesia)
Police (Indonesia)	Arrest, detain, or charge with legal action	Citizen (Indonesia)
Environmentalist (Indonesia)	Praise or endorse	Head of Government (Indonesia)
Political Parties (Indonesia)	Praise or endorse	City Mayor (Indonesia)
Raul Jungmann	Make statement	Fire Brigade (Brazil)
Liberia	Engage in diplomatic cooperation	Morocco
Morocco	Engage in diplomatic cooperation	Liberia
Muhammad VI	Praise or endorse	Africa
Muhammad VI	Express intent to engage in diplomatic cooperation (such as policy support)	Head of Government (Liberia)
Bolivarian National Guard	Use conventional military force	Children (Venezuela)
Head of Government (Palestinian Territory, Occupied)	Criticize or denounce	Likud
Mahmoud Abbas	Make statement	United States
Protester (Hong Kong)	Demonstrate or rally	Unspecified Actor
Afghanistan	Accuse	Pakistan
France	Express intent to engage in diplomatic cooperation (such as policy support)	China
France	Express intent to engage in diplomatic cooperation (such as policy support)	Russia
Bruno Le Maire	Criticize or denounce	United States
Head of Government (United States)	Make statement	Government (Iran)
Citizen (France)	Use unconventional violence	Police (France)
Emmanuel Macron	Criticize or denounce	Police (France)
Bharatiya Janata	Make statement	India
Mob (India)	Protest violently, riot	Extremist (India)
Bharatiya Janata	Express intent to meet or negotiate	India
Virbhadra Singh	Express intent to meet or negotiate	Citizen (Nepal)
Citizen (Nepal)	Express intent to meet or negotiate	Virbhadra Singh
Rajnath Singh	Investigate	China
Villager (India)	Sexually assault	Children (India)
Khawaja Asif	Make statement	Pakistan
Khawaja Asif	Make an appeal or request	United States
Khawaja Asif	Reduce or stop material aid	Pakistan
Khawaja Asif	Criticize or denounce	Donald Trump
Police (India)	Confiscate property	Citizen (India)
Citizen (India)	fight with small arms and light weapons	Social Worker (India)
Villager (India)	Make an appeal or request	Government (India)
Villager (India)	Make an appeal or request	Police (India)
Protester (India)	Make an appeal or request	Government (India)
Protester (India)	Make an appeal or request	Police (India)
Nick Brown	Praise or endorse	Member of Parliament (United Kingdom)
Member of Parliament (India)	Make statement	India
Protester (India)	Make pessimistic comment	Citizen (India)
Protester (Turkey)	Appeal for judicial cooperation	Government (Turkey)
Criminal (India)	Abduct, hijack, or take hostage	Citizen (India)
Bharatiya Janata	Make an appeal or request	B. Ramanath Rai
Bharatiya Janata	Demand	B. Ramanath Rai
Police (India)	Physically assault	Muslim (India)
Police (India)	Investigate	Citizen (India)
India	Arrest, detain, or charge with legal action	Men (India)
India	Arrest, detain, or charge with legal action	Indigenous People (India)
India	Arrest, detain, or charge with legal action	Detainee (India)
Police (India)	Use tactics of violent repression	Protester (India)
Citizen (India)	Accuse	Government (India)
Citizen (India)	Demonstrate or rally	Government (India)
India	Arrest, detain, or charge with legal action	Citizen (India)
Police (India)	Impose administrative sanctions	India
Citizen (India)	Make an appeal or request	Employee (India)
Police (India)	Make statement	Criminal (India)
Medical Association (India)	Criticize or denounce	Medical Personnel (India)
Medical Personnel (India)	Make statement	Healthcare Facility (India)
Thief (India)	Use unconventional violence	Citizen (India)
Narendra Modi	Make statement	Government (India)
Member of the Judiciary (Philippines)	Reject	Men (India)
Citizen (India)	fight with small arms and light weapons	Rajya Sabha
Congress (India)	Make statement	Government (India)
Activist (India)	Demonstrate or rally	Unspecified Actor
Tejashwi Prasad Yadav	Praise or endorse	Citizen (India)
Citizen (India)	Make an appeal or request	Nitish Kumar
Citizen (India)	Demand	Government (India)
India	Praise or endorse	Bharatiya Janata
Vijay Rupani	Make statement	India
Amit Shah	Express intent to cooperate	Cabinet / Council of Ministers / Advisors (India)
Company - Owner or Operator (India)	Criticize or denounce	Men (India)
Citizen (Bangladesh)	Criticize or denounce	Bangladesh
Amit Shah	Reject proposal to meet, discuss, or negotiate	Citizen (India)
Defense Attorney (India)	Make statement	Police (India)
Citizen (United States)	Express intent to meet or negotiate	India
Company - Owner or Operator (United States)	Express intent to meet or negotiate	India
Sharad Pawar	Make statement	Pratibha Patil
Bharatiya Janata	Criticize or denounce	Shiv Sena
Bharatiya Janata	Make an appeal or request	Children (India)
India	Provide aid	Pakistan
Head of Government (United States)	Make statement	India
Donald Trump	Make statement	Bharatiya Janata
Military (India)	Torture	Men (India)
Military (India)	Use conventional military force	Citizen (India)
Sushma Swaraj	Make statement	Pakistan
Left Party (India)	Consult	Congress (India)
Congress (India)	Consult	Left Party (India)
India	Praise or endorse	Rahul Gandhi
Narendra Modi	Make an appeal or request	Citizen (India)
Domestic Affairs (India)	Make an appeal or request	Cabinet / Council of Ministers / Advisors (India)
European Union	Engage in diplomatic cooperation	Azerbaijan
Azerbaijan	Engage in diplomatic cooperation	European Union
Media (Bosnia and Herzegovina)	Make statement	News Editor (Bosnia and Herzegovina)
Robert Fico	Praise or endorse	Czech Republic
Fayez Mustafa Al-Serraj	Criticize or denounce	National Union Party (Libya)
Hassan Rouhani	Make statement	Protester (Iran)
Andrzej Duda	Make statement	Poland
Hungary	Host a visit	Mateusz Morawiecki
Mateusz Morawiecki	Make a visit	Hungary
Mateusz Morawiecki	Express intent to meet or negotiate	Hungary
Mateusz Morawiecki	Express intent to meet or negotiate	Viktor Orban
Jean-Claude Juncker	Express intent to meet or negotiate	Belgium
Jean-Claude Juncker	Express intent to meet or negotiate	Switzerland
Citizen (Thailand)	Express intent to provide material aid	Head of Government (Thailand)
Police (Thailand)	Confiscate property	Citizen (Thailand)
Citizen (Thailand)	Threaten with military force	Police (Thailand)
Citizen (South Korea)	Make pessimistic comment	China
Citizen (Brazil)	Demonstrate or rally	Unspecified Actor
European Union	Demand	Iran
Andrej Babis	Express intent to cooperate	Robert Fico
Robert Fico	Express intent to cooperate	Andrej Babis
Andrej Kiska	Praise or endorse	Petr Pithart
South Korea	Host a visit	Moon Jae-in
Moon Jae-in	Make a visit	South Korea
